Time,sensor_mo.mean,Date,StudentID,TimePeriod,date-year,date-month,date-day,Season,Semester,Weekday
30/09/2024 12:10,1,2024-09-30,4,2,2024,9,30,3,0,0
30/09/2024 12:15,1,2024-09-30,4,2,2024,9,30,3,0,0
30/09/2024 12:20,1,2024-09-30,4,2,2024,9,30,3,0,0
30/09/2024 12:25,1,2024-09-30,4,2,2024,9,30,3,0,0
30/09/2024 12:30,1,2024-09-30,4,2,2024,9,30,3,0,0
30/09/2024 12:35,1,2024-09-30,4,2,2024,9,30,3,0,0
30/09/2024 12:40,1,2024-09-30,4,2,2024,9,30,3,0,0
30/09/2024 12:45,1,2024-09-30,4,2,2024,9,30,3,0,0
30/09/2024 12:50,1,2024-09-30,4,2,2024,9,30,3,0,0
30/09/2024 12:55,1,2024-09-30,4,2,2024,9,30,3,0,0
30/09/2024 13:00,1,2024-09-30,4,2,2024,9,30,3,0,0
30/09/2024 11:00,1,2024-09-30,5,2,2024,9,30,3,0,0
30/09/2024 11:05,1,2024-09-30,5,2,2024,9,30,3,0,0
30/09/2024 11:10,0,2024-09-30,5,2,2024,9,30,3,0,0
30/09/2024 11:15,1,2024-09-30,5,2,2024,9,30,3,0,0
30/09/2024 11:20,1,2024-09-30,5,2,2024,9,30,3,0,0
30/09/2024 11:25,1,2024-09-30,5,2,2024,9,30,3,0,0
30/09/2024 11:30,1,2024-09-30,5,2,2024,9,30,3,0,0
30/09/2024 11:35,1,2024-09-30,5,2,2024,9,30,3,0,0
30/09/2024 11:40,1,2024-09-30,5,2,2024,9,30,3,0,0
30/09/2024 11:45,1,2024-09-30,5,2,2024,9,30,3,0,0
30/09/2024 11:50,1,2024-09-30,5,2,2024,9,30,3,0,0
30/09/2024 11:55,1,2024-09-30,5,2,2024,9,30,3,0,0
30/09/2024 12:00,1,2024-09-30,5,2,2024,9,30,3,0,0
30/09/2024 12:05,1,2024-09-30,5,2,2024,9,30,3,0,0
30/09/2024 12:10,1,2024-09-30,5,2,2024,9,30,3,0,0
30/09/2024 12:15,1,2024-09-30,5,2,2024,9,30,3,0,0
30/09/2024 12:20,1,2024-09-30,5,2,2024,9,30,3,0,0
30/09/2024 12:25,1,2024-09-30,5,2,2024,9,30,3,0,0
30/09/2024 12:30,1,2024-09-30,5,2,2024,9,30,3,0,0
30/09/2024 12:35,0,2024-09-30,5,2,2024,9,30,3,0,0
30/09/2024 12:40,0,2024-09-30,5,2,2024,9,30,3,0,0
30/09/2024 12:45,1,2024-09-30,5,2,2024,9,30,3,0,0
30/09/2024 12:50,1,2024-09-30,5,2,2024,9,30,3,0,0
30/09/2024 12:55,1,2024-09-30,5,2,2024,9,30,3,0,0
30/09/2024 13:00,1,2024-09-30,5,2,2024,9,30,3,0,0
30/09/2024 11:00,1,2024-09-30,6,2,2024,9,30,3,0,0
30/09/2024 11:05,1,2024-09-30,6,2,2024,9,30,3,0,0
30/09/2024 11:10,1,2024-09-30,6,2,2024,9,30,3,0,0
30/09/2024 11:15,1,2024-09-30,6,2,2024,9,30,3,0,0
30/09/2024 11:20,1,2024-09-30,6,2,2024,9,30,3,0,0
30/09/2024 11:25,1,2024-09-30,6,2,2024,9,30,3,0,0
30/09/2024 11:30,0,2024-09-30,6,2,2024,9,30,3,0,0
30/09/2024 11:35,0,2024-09-30,6,2,2024,9,30,3,0,0
30/09/2024 11:40,0,2024-09-30,6,2,2024,9,30,3,0,0
30/09/2024 11:45,1,2024-09-30,6,2,2024,9,30,3,0,0
30/09/2024 11:50,1,2024-09-30,6,2,2024,9,30,3,0,0
30/09/2024 11:55,1,2024-09-30,6,2,2024,9,30,3,0,0
30/09/2024 12:00,1,2024-09-30,6,2,2024,9,30,3,0,0
30/09/2024 12:05,1,2024-09-30,6,2,2024,9,30,3,0,0
30/09/2024 12:10,1,2024-09-30,6,2,2024,9,30,3,0,0
30/09/2024 12:15,1,2024-09-30,6,2,2024,9,30,3,0,0
30/09/2024 12:20,1,2024-09-30,6,2,2024,9,30,3,0,0
30/09/2024 12:25,1,2024-09-30,6,2,2024,9,30,3,0,0
30/09/2024 12:30,1,2024-09-30,6,2,2024,9,30,3,0,0
30/09/2024 12:35,1,2024-09-30,6,2,2024,9,30,3,0,0
30/09/2024 12:40,1,2024-09-30,6,2,2024,9,30,3,0,0
30/09/2024 12:45,1,2024-09-30,6,2,2024,9,30,3,0,0
30/09/2024 12:50,1,2024-09-30,6,2,2024,9,30,3,0,0
30/09/2024 12:55,1,2024-09-30,6,2,2024,9,30,3,0,0
30/09/2024 13:00,1,2024-09-30,6,2,2024,9,30,3,0,0
14:00,1,2024-02-12,1,3,2024,2,12,0,1,0
14:05,1,2024-02-12,1,3,2024,2,12,0,1,0
14:10,1,2024-02-12,1,3,2024,2,12,0,1,0
14:15,1,2024-02-12,1,3,2024,2,12,0,1,0
14:20,0,2024-02-12,1,3,2024,2,12,0,1,0
14:25,1,2024-02-12,1,3,2024,2,12,0,1,0
