Time,sensor_mo.mean,Date,StudentID,TimePeriod
07/10/2024 09:25,1,07-10-2024,S6,1
07/10/2024 09:30,1,07-10-2024,S6,1
07/10/2024 09:35,0,07-10-2024,S6,1
07/10/2024 09:40,0,07-10-2024,S6,1
07/10/2024 09:45,0,07-10-2024,S6,1
07/10/2024 09:50,0,07-10-2024,S6,1
07/10/2024 09:55,1,07-10-2024,S6,1
07/10/2024 10:00,1,07-10-2024,S6,1
07/10/2024 10:05,1,07-10-2024,S6,1
07/10/2024 10:10,1,07-10-2024,S6,1
07/10/2024 10:15,1,07-10-2024,S6,1
07/10/2024 10:20,1,07-10-2024,S6,1
07/10/2024 10:25,1,07-10-2024,S6,1
07/10/2024 10:30,1,07-10-2024,S6,1
07/10/2024 10:35,1,07-10-2024,S6,1
07/10/2024 10:40,1,07-10-2024,S6,1
07/10/2024 10:45,1,07-10-2024,S6,1
07/10/2024 10:50,1,07-10-2024,S6,1
07/10/2024 10:55,1,07-10-2024,S6,1
07/10/2024 11:00,1,07-10-2024,S6,1
09/12/2024 09:00,0,09-12-2024,S1,1
09/12/2024 09:05,1,09-12-2024,S1,1
09/12/2024 09:10,1,09-12-2024,S1,1
09/12/2024 09:15,1,09-12-2024,S1,1
09/12/2024 09:20,1,09-12-2024,S1,1
09/12/2024 09:25,1,09-12-2024,S1,1
09/12/2024 09:30,1,09-12-2024,S1,1
09/12/2024 09:35,1,09-12-2024,S1,1
09/12/2024 09:40,1,09-12-2024,S1,1
09/12/2024 09:45,1,09-12-2024,S1,1
09/12/2024 09:50,1,09-12-2024,S1,1
09/12/2024 09:55,1,09-12-2024,S1,1
09/12/2024 10:00,1,09-12-2024,S1,1
09/12/2024 10:05,1,09-12-2024,S1,1
09/12/2024 10:10,1,09-12-2024,S1,1
09/12/2024 10:15,1,09-12-2024,S1,1
09/12/2024 10:20,1,09-12-2024,S1,1
09/12/2024 10:25,1,09-12-2024,S1,1
09/12/2024 10:30,1,09-12-2024,S1,1
09/12/2024 10:35,0,09-12-2024,S1,1
09/12/2024 10:40,0,09-12-2024,S1,1
09/12/2024 10:45,1,09-12-2024,S1,1
09/12/2024 10:50,1,09-12-2024,S1,1
09/12/2024 10:55,1,09-12-2024,S1,1
09/12/2024 11:00,1,09-12-2024,S1,1
09/12/2024 09:00,1,09-12-2024,S2,1
09/12/2024 09:05,1,09-12-2024,S2,1
09/12/2024 09:10,1,09-12-2024,S2,1
09/12/2024 09:15,1,09-12-2024,S2,1
09/12/2024 09:20,1,09-12-2024,S2,1
09/12/2024 09:25,1,09-12-2024,S2,1
09/12/2024 09:30,1,09-12-2024,S2,1
09/12/2024 09:35,0,09-12-2024,S2,1
09/12/2024 09:40,1,09-12-2024,S2,1
09/12/2024 09:45,1,09-12-2024,S2,1
09/12/2024 09:50,1,09-12-2024,S2,1
09/12/2024 09:55,1,09-12-2024,S2,1
09/12/2024 10:00,1,09-12-2024,S2,1
09/12/2024 10:05,1,09-12-2024,S2,1
09/12/2024 10:10,1,09-12-2024,S2,1
09/12/2024 10:15,1,09-12-2024,S2,1
09/12/2024 10:20,1,09-12-2024,S2,1
09/12/2024 10:25,1,09-12-2024,S2,1
09/12/2024 10:30,1,09-12-2024,S2,1
09/12/2024 10:35,1,09-12-2024,S2,1
09/12/2024 10:40,0,09-12-2024,S2,1
09/12/2024 10:45,0,09-12-2024,S2,1
09/12/2024 10:50,1,09-12-2024,S2,1
09/12/2024 10:55,1,09-12-2024,S2,1
09/12/2024 11:00,1,09-12-2024,S2,1
09/12/2024 09:00,1,09-12-2024,S3,1
09/12/2024 09:05,1,09-12-2024,S3,1
09/12/2024 09:10,1,09-12-2024,S3,1
09/12/2024 09:15,1,09-12-2024,S3,1
09/12/2024 09:20,1,09-12-2024,S3,1
09/12/2024 09:25,1,09-12-2024,S3,1
09/12/2024 09:30,0,09-12-2024,S3,1
09/12/2024 09:35,0,09-12-2024,S3,1
09/12/2024 09:40,0,09-12-2024,S3,1
09/12/2024 09:45,1,09-12-2024,S3,1
09/12/2024 09:50,1,09-12-2024,S3,1
09/12/2024 09:55,1,09-12-2024,S3,1
09/12/2024 10:00,1,09-12-2024,S3,1
09/12/2024 10:05,1,09-12-2024,S3,1
09/12/2024 10:10,1,09-12-2024,S3,1
09/12/2024 10:15,1,09-12-2024,S3,1
09/12/2024 10:20,1,09-12-2024,S3,1
09/12/2024 10:25,1,09-12-2024,S3,1
09/12/2024 10:30,1,09-12-2024,S3,1
09/12/2024 10:35,1,09-12-2024,S3,1
09/12/2024 10:40,1,09-12-2024,S3,1
09/12/2024 10:45,1,09-12-2024,S3,1
09/12/2024 10:50,1,09-12-2024,S3,1
09/12/2024 10:55,1,09-12-2024,S3,1
09/12/2024 11:00,0,09-12-2024,S3,1
09/12/2024 09:00,1,09-12-2024,S4,1
09/12/2024 09:05,1,09-12-2024,S4,1
09/12/2024 09:10,1,09-12-2024,S4,1
09/12/2024 09:15,1,09-12-2024,S4,1
09/12/2024 09:20,0,09-12-2024,S4,1
09/12/2024 09:25,0,09-12-2024,S4,1
09/12/2024 09:30,1,09-12-2024,S4,1
09/12/2024 09:35,1,09-12-2024,S4,1
09/12/2024 09:40,1,09-12-2024,S4,1
09/12/2024 09:45,1,09-12-2024,S4,1
09/12/2024 09:50,1,09-12-2024,S4,1
09/12/2024 09:55,1,09-12-2024,S4,1
09/12/2024 10:00,1,09-12-2024,S4,1
09/12/2024 10:05,1,09-12-2024,S4,1
09/12/2024 10:10,1,09-12-2024,S4,1
09/12/2024 10:15,1,09-12-2024,S4,1
09/12/2024 10:20,1,09-12-2024,S4,1
09/12/2024 10:25,1,09-12-2024,S4,1
09/12/2024 10:30,1,09-12-2024,S4,1
09/12/2024 10:35,1,09-12-2024,S4,1
09/12/2024 10:40,1,09-12-2024,S4,1
09/12/2024 10:45,1,09-12-2024,S4,1
09/12/2024 10:50,1,09-12-2024,S4,1
09/12/2024 10:55,1,09-12-2024,S4,1
09/12/2024 11:00,1,09-12-2024,S4,1
09/12/2024 09:00,0,09-12-2024,S5,1
09/12/2024 09:05,0,09-12-2024,S5,1
09/12/2024 09:10,1,09-12-2024,S5,1
09/12/2024 09:15,1,09-12-2024,S5,1
09/12/2024 09:20,1,09-12-2024,S5,1
09/12/2024 09:25,1,09-12-2024,S5,1
09/12/2024 09:30,1,09-12-2024,S5,1
09/12/2024 09:35,1,09-12-2024,S5,1
09/12/2024 09:40,0,09-12-2024,S5,1
09/12/2024 09:45,1,09-12-2024,S5,1
09/12/2024 09:50,1,09-12-2024,S5,1
09/12/2024 09:55,0,09-12-2024,S5,1
09/12/2024 10:00,0,09-12-2024,S5,1
09/12/2024 10:05,1,09-12-2024,S5,1
09/12/2024 10:10,1,09-12-2024,S5,1
09/12/2024 10:15,1,09-12-2024,S5,1
09/12/2024 10:20,1,09-12-2024,S5,1
09/12/2024 10:25,1,09-12-2024,S5,1
09/12/2024 10:30,1,09-12-2024,S5,1
09/12/2024 10:35,1,09-12-2024,S5,1
09/12/2024 10:40,1,09-12-2024,S5,1
09/12/2024 10:45,1,09-12-2024,S5,1
09/12/2024 10:50,1,09-12-2024,S5,1
09/12/2024 10:55,1,09-12-2024,S5,1
09/12/2024 11:00,1,09-12-2024,S5,1
09/12/2024 09:00,0,09-12-2024,S6,1
09/12/2024 09:05,0,09-12-2024,S6,1
09/12/2024 09:10,1,09-12-2024,S6,1
09/12/2024 09:15,1,09-12-2024,S6,1
09/12/2024 09:20,1,09-12-2024,S6,1
09/12/2024 09:25,1,09-12-2024,S6,1
09/12/2024 09:30,1,09-12-2024,S6,1
09/12/2024 09:35,1,09-12-2024,S6,1
09/12/2024 09:40,0,09-12-2024,S6,1
09/12/2024 09:45,0,09-12-2024,S6,1
09/12/2024 09:50,0,09-12-2024,S6,1
09/12/2024 09:55,0,09-12-2024,S6,1
09/12/2024 10:00,0,09-12-2024,S6,1
09/12/2024 10:05,1,09-12-2024,S6,1
09/12/2024 10:10,1,09-12-2024,S6,1
09/12/2024 10:15,1,09-12-2024,S6,1
09/12/2024 10:20,1,09-12-2024,S6,1
09/12/2024 10:25,1,09-12-2024,S6,1
09/12/2024 10:30,1,09-12-2024,S6,1
09/12/2024 10:35,1,09-12-2024,S6,1
09/12/2024 10:40,1,09-12-2024,S6,1
09/12/2024 10:45,1,09-12-2024,S6,1
09/12/2024 10:50,1,09-12-2024,S6,1
09/12/2024 10:55,1,09-12-2024,S6,1
09/12/2024 11:00,1,09-12-2024,S6,1
11/11/2024 09:00,0,11-11-2024,S1,1
11/11/2024 09:05,1,11-11-2024,S1,1
11/11/2024 09:10,1,11-11-2024,S1,1
11/11/2024 09:15,1,11-11-2024,S1,1
11/11/2024 09:20,1,11-11-2024,S1,1
11/11/2024 09:25,1,11-11-2024,S1,1
11/11/2024 09:30,1,11-11-2024,S1,1
11/11/2024 09:35,1,11-11-2024,S1,1
11/11/2024 09:40,1,11-11-2024,S1,1
11/11/2024 09:45,1,11-11-2024,S1,1
11/11/2024 09:50,0,11-11-2024,S1,1
11/11/2024 09:55,1,11-11-2024,S1,1
11/11/2024 10:00,1,11-11-2024,S1,1
11/11/2024 10:05,1,11-11-2024,S1,1
11/11/2024 10:10,1,11-11-2024,S1,1
11/11/2024 10:15,1,11-11-2024,S1,1
11/11/2024 10:20,1,11-11-2024,S1,1
11/11/2024 10:25,1,11-11-2024,S1,1
11/11/2024 10:30,1,11-11-2024,S1,1
11/11/2024 10:35,0,11-11-2024,S1,1
11/11/2024 10:40,0,11-11-2024,S1,1
11/11/2024 10:45,0,11-11-2024,S1,1
11/11/2024 10:50,0,11-11-2024,S1,1
11/11/2024 10:55,0,11-11-2024,S1,1
11/11/2024 11:00,0,11-11-2024,S1,1
11/11/2024 09:00,0,11-11-2024,S2,1
11/11/2024 09:05,0,11-11-2024,S2,1
11/11/2024 09:10,0,11-11-2024,S2,1
11/11/2024 09:15,0,11-11-2024,S2,1
11/11/2024 09:20,0,11-11-2024,S2,1
11/11/2024 09:25,0,11-11-2024,S2,1
11/11/2024 09:30,0,11-11-2024,S2,1
11/11/2024 09:35,0,11-11-2024,S2,1
11/11/2024 09:40,0,11-11-2024,S2,1
11/11/2024 09:45,0,11-11-2024,S2,1
11/11/2024 09:50,0,11-11-2024,S2,1
11/11/2024 09:55,0,11-11-2024,S2,1
11/11/2024 10:00,0,11-11-2024,S2,1
11/11/2024 10:05,1,11-11-2024,S2,1
11/11/2024 10:10,1,11-11-2024,S2,1
11/11/2024 10:15,1,11-11-2024,S2,1
11/11/2024 10:20,1,11-11-2024,S2,1
11/11/2024 10:25,1,11-11-2024,S2,1
11/11/2024 10:30,1,11-11-2024,S2,1
11/11/2024 10:35,1,11-11-2024,S2,1
11/11/2024 10:40,1,11-11-2024,S2,1
11/11/2024 10:45,1,11-11-2024,S2,1
11/11/2024 10:50,1,11-11-2024,S2,1
11/11/2024 10:55,1,11-11-2024,S2,1
11/11/2024 11:00,1,11-11-2024,S2,1
11/11/2024 09:00,1,11-11-2024,S3,1
11/11/2024 09:05,1,11-11-2024,S3,1
11/11/2024 09:10,1,11-11-2024,S3,1
11/11/2024 09:15,1,11-11-2024,S3,1
11/11/2024 09:20,1,11-11-2024,S3,1
11/11/2024 09:25,0,11-11-2024,S3,1
11/11/2024 09:30,1,11-11-2024,S3,1
11/11/2024 09:35,1,11-11-2024,S3,1
11/11/2024 09:40,1,11-11-2024,S3,1
11/11/2024 09:45,1,11-11-2024,S3,1
11/11/2024 09:50,0,11-11-2024,S3,1
11/11/2024 09:55,1,11-11-2024,S3,1
11/11/2024 10:00,1,11-11-2024,S3,1
11/11/2024 10:05,1,11-11-2024,S3,1
11/11/2024 10:10,1,11-11-2024,S3,1
11/11/2024 10:15,1,11-11-2024,S3,1
11/11/2024 10:20,1,11-11-2024,S3,1
11/11/2024 10:25,1,11-11-2024,S3,1
11/11/2024 10:30,1,11-11-2024,S3,1
11/11/2024 10:35,1,11-11-2024,S3,1
11/11/2024 10:40,0,11-11-2024,S3,1
11/11/2024 10:45,0,11-11-2024,S3,1
11/11/2024 10:50,1,11-11-2024,S3,1
11/11/2024 10:55,1,11-11-2024,S3,1
11/11/2024 11:00,0,11-11-2024,S3,1
11/11/2024 09:00,0,11-11-2024,S4,1
11/11/2024 09:05,0,11-11-2024,S4,1
11/11/2024 09:10,1,11-11-2024,S4,1
11/11/2024 09:15,1,11-11-2024,S4,1
11/11/2024 09:20,1,11-11-2024,S4,1
11/11/2024 09:25,1,11-11-2024,S4,1
11/11/2024 09:30,1,11-11-2024,S4,1
11/11/2024 09:35,1,11-11-2024,S4,1
11/11/2024 09:40,1,11-11-2024,S4,1
11/11/2024 09:45,1,11-11-2024,S4,1
11/11/2024 09:50,1,11-11-2024,S4,1
11/11/2024 09:55,1,11-11-2024,S4,1
11/11/2024 10:00,1,11-11-2024,S4,1
11/11/2024 10:05,1,11-11-2024,S4,1
11/11/2024 10:10,1,11-11-2024,S4,1
11/11/2024 10:15,1,11-11-2024,S4,1
11/11/2024 10:20,1,11-11-2024,S4,1
11/11/2024 10:25,1,11-11-2024,S4,1
11/11/2024 10:30,1,11-11-2024,S4,1
11/11/2024 10:35,1,11-11-2024,S4,1
11/11/2024 10:40,1,11-11-2024,S4,1
11/11/2024 10:45,1,11-11-2024,S4,1
11/11/2024 10:50,1,11-11-2024,S4,1
11/11/2024 10:55,1,11-11-2024,S4,1
11/11/2024 11:00,1,11-11-2024,S4,1
11/11/2024 09:00,0,11-11-2024,S5,1
11/11/2024 09:05,0,11-11-2024,S5,1
11/11/2024 09:10,1,11-11-2024,S5,1
11/11/2024 09:15,1,11-11-2024,S5,1
11/11/2024 09:20,1,11-11-2024,S5,1
11/11/2024 09:25,1,11-11-2024,S5,1
11/11/2024 09:30,0,11-11-2024,S5,1
11/11/2024 09:35,0,11-11-2024,S5,1
11/11/2024 09:40,1,11-11-2024,S5,1
11/11/2024 09:45,1,11-11-2024,S5,1
11/11/2024 09:50,1,11-11-2024,S5,1
11/11/2024 09:55,1,11-11-2024,S5,1
11/11/2024 10:00,1,11-11-2024,S5,1
11/11/2024 10:05,1,11-11-2024,S5,1
11/11/2024 10:10,0,11-11-2024,S5,1
11/11/2024 10:15,0,11-11-2024,S5,1
11/11/2024 10:20,0,11-11-2024,S5,1
11/11/2024 10:25,1,11-11-2024,S5,1
11/11/2024 10:30,1,11-11-2024,S5,1
11/11/2024 10:35,1,11-11-2024,S5,1
11/11/2024 10:40,1,11-11-2024,S5,1
11/11/2024 10:45,1,11-11-2024,S5,1
11/11/2024 10:50,1,11-11-2024,S5,1
11/11/2024 10:55,1,11-11-2024,S5,1
11/11/2024 11:00,1,11-11-2024,S5,1
11/11/2024 09:00,0,11-11-2024,S6,1
11/11/2024 09:05,0,11-11-2024,S6,1
11/11/2024 09:10,1,11-11-2024,S6,1
11/11/2024 09:15,1,11-11-2024,S6,1
11/11/2024 09:20,1,11-11-2024,S6,1
11/11/2024 09:25,1,11-11-2024,S6,1
11/11/2024 09:30,1,11-11-2024,S6,1
11/11/2024 09:35,1,11-11-2024,S6,1
11/11/2024 09:40,1,11-11-2024,S6,1
11/11/2024 09:45,1,11-11-2024,S6,1
11/11/2024 09:50,1,11-11-2024,S6,1
11/11/2024 09:55,1,11-11-2024,S6,1
11/11/2024 10:00,1,11-11-2024,S6,1
11/11/2024 10:05,1,11-11-2024,S6,1
11/11/2024 10:10,1,11-11-2024,S6,1
11/11/2024 10:15,1,11-11-2024,S6,1
11/11/2024 10:20,1,11-11-2024,S6,1
11/11/2024 10:25,0,11-11-2024,S6,1
11/11/2024 10:30,0,11-11-2024,S6,1
11/11/2024 10:35,0,11-11-2024,S6,1
11/11/2024 10:40,0,11-11-2024,S6,1
11/11/2024 10:45,1,11-11-2024,S6,1
11/11/2024 10:50,1,11-11-2024,S6,1
11/11/2024 10:55,1,11-11-2024,S6,1
11/11/2024 11:00,1,11-11-2024,S6,1
14/10/2024 09:00,0,14-10-2024,S1,1
14/10/2024 09:05,0,14-10-2024,S1,1
14/10/2024 09:10,0,14-10-2024,S1,1
14/10/2024 09:15,0,14-10-2024,S1,1
14/10/2024 09:20,0,14-10-2024,S1,1
14/10/2024 09:25,0,14-10-2024,S1,1
14/10/2024 09:30,0,14-10-2024,S1,1
14/10/2024 09:35,0,14-10-2024,S1,1
14/10/2024 09:40,0,14-10-2024,S1,1
14/10/2024 09:45,0,14-10-2024,S1,1
14/10/2024 09:50,0,14-10-2024,S1,1
14/10/2024 09:55,1,14-10-2024,S1,1
14/10/2024 10:00,1,14-10-2024,S1,1
14/10/2024 10:05,1,14-10-2024,S1,1
14/10/2024 10:10,1,14-10-2024,S1,1
14/10/2024 10:15,1,14-10-2024,S1,1
14/10/2024 10:20,1,14-10-2024,S1,1
14/10/2024 10:25,0,14-10-2024,S1,1
14/10/2024 10:30,1,14-10-2024,S1,1
14/10/2024 10:35,1,14-10-2024,S1,1
14/10/2024 10:40,1,14-10-2024,S1,1
14/10/2024 10:45,1,14-10-2024,S1,1
14/10/2024 10:50,1,14-10-2024,S1,1
14/10/2024 10:55,1,14-10-2024,S1,1
14/10/2024 11:00,1,14-10-2024,S1,1
14/10/2024 09:00,0,14-10-2024,S2,1
14/10/2024 09:05,0,14-10-2024,S2,1
14/10/2024 09:10,0,14-10-2024,S2,1
14/10/2024 09:15,0,14-10-2024,S2,1
14/10/2024 09:20,0,14-10-2024,S2,1
14/10/2024 09:25,1,14-10-2024,S2,1
14/10/2024 09:30,1,14-10-2024,S2,1
14/10/2024 09:35,1,14-10-2024,S2,1
14/10/2024 09:40,1,14-10-2024,S2,1
14/10/2024 09:45,1,14-10-2024,S2,1
14/10/2024 09:50,1,14-10-2024,S2,1
14/10/2024 09:55,1,14-10-2024,S2,1
14/10/2024 10:00,1,14-10-2024,S2,1
14/10/2024 10:05,1,14-10-2024,S2,1
14/10/2024 10:10,1,14-10-2024,S2,1
14/10/2024 10:15,1,14-10-2024,S2,1
14/10/2024 10:20,1,14-10-2024,S2,1
14/10/2024 10:25,1,14-10-2024,S2,1
14/10/2024 10:30,1,14-10-2024,S2,1
14/10/2024 10:35,1,14-10-2024,S2,1
14/10/2024 10:40,1,14-10-2024,S2,1
14/10/2024 10:45,1,14-10-2024,S2,1
14/10/2024 10:50,0,14-10-2024,S2,1
14/10/2024 10:55,0,14-10-2024,S2,1
14/10/2024 11:00,0,14-10-2024,S2,1
14/10/2024 09:00,0,14-10-2024,S3,1
14/10/2024 09:05,0,14-10-2024,S3,1
14/10/2024 09:10,0,14-10-2024,S3,1
14/10/2024 09:15,1,14-10-2024,S3,1
14/10/2024 09:20,1,14-10-2024,S3,1
14/10/2024 09:25,1,14-10-2024,S3,1
14/10/2024 09:30,1,14-10-2024,S3,1
14/10/2024 09:35,1,14-10-2024,S3,1
14/10/2024 09:40,1,14-10-2024,S3,1
14/10/2024 09:45,0,14-10-2024,S3,1
14/10/2024 09:50,0,14-10-2024,S3,1
14/10/2024 09:55,1,14-10-2024,S3,1
14/10/2024 10:00,1,14-10-2024,S3,1
14/10/2024 10:05,1,14-10-2024,S3,1
14/10/2024 10:10,1,14-10-2024,S3,1
14/10/2024 10:15,1,14-10-2024,S3,1
14/10/2024 10:20,1,14-10-2024,S3,1
14/10/2024 10:25,1,14-10-2024,S3,1
14/10/2024 10:30,0,14-10-2024,S3,1
14/10/2024 10:35,1,14-10-2024,S3,1
14/10/2024 10:40,1,14-10-2024,S3,1
14/10/2024 10:45,1,14-10-2024,S3,1
14/10/2024 10:50,1,14-10-2024,S3,1
14/10/2024 10:55,1,14-10-2024,S3,1
14/10/2024 11:00,1,14-10-2024,S3,1
14/10/2024 09:00,1,14-10-2024,S4,1
14/10/2024 09:05,1,14-10-2024,S4,1
14/10/2024 09:10,1,14-10-2024,S4,1
14/10/2024 09:15,0,14-10-2024,S4,1
14/10/2024 09:20,1,14-10-2024,S4,1
14/10/2024 09:25,1,14-10-2024,S4,1
14/10/2024 09:30,1,14-10-2024,S4,1
14/10/2024 09:35,1,14-10-2024,S4,1
14/10/2024 09:40,1,14-10-2024,S4,1
14/10/2024 09:45,1,14-10-2024,S4,1
14/10/2024 09:50,1,14-10-2024,S4,1
14/10/2024 09:55,1,14-10-2024,S4,1
14/10/2024 10:00,1,14-10-2024,S4,1
14/10/2024 10:05,1,14-10-2024,S4,1
14/10/2024 10:10,1,14-10-2024,S4,1
14/10/2024 10:15,1,14-10-2024,S4,1
14/10/2024 10:20,1,14-10-2024,S4,1
14/10/2024 10:25,1,14-10-2024,S4,1
14/10/2024 10:30,1,14-10-2024,S4,1
14/10/2024 10:35,0,14-10-2024,S4,1
14/10/2024 10:40,0,14-10-2024,S4,1
14/10/2024 10:45,0,14-10-2024,S4,1
14/10/2024 10:50,0,14-10-2024,S4,1
14/10/2024 10:55,0,14-10-2024,S4,1
14/10/2024 11:00,0,14-10-2024,S4,1
14/10/2024 09:00,1,14-10-2024,S5,1
14/10/2024 09:05,1,14-10-2024,S5,1
14/10/2024 09:10,1,14-10-2024,S5,1
14/10/2024 09:15,0,14-10-2024,S5,1
14/10/2024 09:20,0,14-10-2024,S5,1
14/10/2024 09:25,1,14-10-2024,S5,1
14/10/2024 09:30,1,14-10-2024,S5,1
14/10/2024 09:35,1,14-10-2024,S5,1
14/10/2024 09:40,1,14-10-2024,S5,1
14/10/2024 09:45,1,14-10-2024,S5,1
14/10/2024 09:50,1,14-10-2024,S5,1
14/10/2024 09:55,1,14-10-2024,S5,1
14/10/2024 10:00,1,14-10-2024,S5,1
14/10/2024 10:05,1,14-10-2024,S5,1
14/10/2024 10:10,1,14-10-2024,S5,1
14/10/2024 10:15,0,14-10-2024,S5,1
14/10/2024 10:20,1,14-10-2024,S5,1
14/10/2024 10:25,1,14-10-2024,S5,1
14/10/2024 10:30,1,14-10-2024,S5,1
14/10/2024 10:35,1,14-10-2024,S5,1
14/10/2024 10:40,1,14-10-2024,S5,1
14/10/2024 10:45,1,14-10-2024,S5,1
14/10/2024 10:50,0,14-10-2024,S5,1
14/10/2024 10:55,0,14-10-2024,S5,1
14/10/2024 11:00,0,14-10-2024,S5,1
14/10/2024 09:00,0,14-10-2024,S6,1
14/10/2024 09:05,1,14-10-2024,S6,1
14/10/2024 09:10,1,14-10-2024,S6,1
14/10/2024 09:15,1,14-10-2024,S6,1
14/10/2024 09:20,1,14-10-2024,S6,1
14/10/2024 09:25,1,14-10-2024,S6,1
14/10/2024 09:30,1,14-10-2024,S6,1
14/10/2024 09:35,1,14-10-2024,S6,1
14/10/2024 09:40,1,14-10-2024,S6,1
14/10/2024 09:45,1,14-10-2024,S6,1
14/10/2024 09:50,1,14-10-2024,S6,1
14/10/2024 09:55,1,14-10-2024,S6,1
14/10/2024 10:00,1,14-10-2024,S6,1
14/10/2024 10:05,1,14-10-2024,S6,1
14/10/2024 10:10,1,14-10-2024,S6,1
14/10/2024 10:15,0,14-10-2024,S6,1
14/10/2024 10:20,0,14-10-2024,S6,1
14/10/2024 10:25,0,14-10-2024,S6,1
14/10/2024 10:30,1,14-10-2024,S6,1
14/10/2024 10:35,1,14-10-2024,S6,1
14/10/2024 10:40,1,14-10-2024,S6,1
14/10/2024 10:45,1,14-10-2024,S6,1
14/10/2024 10:50,1,14-10-2024,S6,1
14/10/2024 10:55,1,14-10-2024,S6,1
14/10/2024 11:00,1,14-10-2024,S6,1
18/11/2024 09:00,1,18-11-2024,S1,1
18/11/2024 09:05,1,18-11-2024,S1,1
18/11/2024 09:10,1,18-11-2024,S1,1
18/11/2024 09:15,1,18-11-2024,S1,1
18/11/2024 09:20,1,18-11-2024,S1,1
18/11/2024 09:25,1,18-11-2024,S1,1
18/11/2024 09:30,1,18-11-2024,S1,1
18/11/2024 09:35,1,18-11-2024,S1,1
18/11/2024 09:40,1,18-11-2024,S1,1
18/11/2024 09:45,1,18-11-2024,S1,1
18/11/2024 09:50,1,18-11-2024,S1,1
18/11/2024 09:55,1,18-11-2024,S1,1
18/11/2024 10:00,1,18-11-2024,S1,1
18/11/2024 10:05,1,18-11-2024,S1,1
18/11/2024 10:10,1,18-11-2024,S1,1
18/11/2024 10:15,1,18-11-2024,S1,1
18/11/2024 10:20,1,18-11-2024,S1,1
18/11/2024 10:25,1,18-11-2024,S1,1
18/11/2024 10:30,1,18-11-2024,S1,1
18/11/2024 10:35,1,18-11-2024,S1,1
18/11/2024 10:40,0,18-11-2024,S1,1
18/11/2024 10:45,0,18-11-2024,S1,1
18/11/2024 10:50,0,18-11-2024,S1,1
18/11/2024 10:55,0,18-11-2024,S1,1
18/11/2024 11:00,1,18-11-2024,S1,1
18/11/2024 09:00,0,18-11-2024,S2,1
18/11/2024 09:05,0,18-11-2024,S2,1
18/11/2024 09:10,1,18-11-2024,S2,1
18/11/2024 09:15,1,18-11-2024,S2,1
18/11/2024 09:20,1,18-11-2024,S2,1
18/11/2024 09:25,1,18-11-2024,S2,1
18/11/2024 09:30,1,18-11-2024,S2,1
18/11/2024 09:35,1,18-11-2024,S2,1
18/11/2024 09:40,1,18-11-2024,S2,1
18/11/2024 09:45,1,18-11-2024,S2,1
18/11/2024 09:50,1,18-11-2024,S2,1
18/11/2024 09:55,1,18-11-2024,S2,1
18/11/2024 10:00,1,18-11-2024,S2,1
18/11/2024 10:05,1,18-11-2024,S2,1
18/11/2024 10:10,1,18-11-2024,S2,1
18/11/2024 10:15,1,18-11-2024,S2,1
18/11/2024 10:20,1,18-11-2024,S2,1
18/11/2024 10:25,1,18-11-2024,S2,1
18/11/2024 10:30,1,18-11-2024,S2,1
18/11/2024 10:35,1,18-11-2024,S2,1
18/11/2024 10:40,1,18-11-2024,S2,1
18/11/2024 10:45,1,18-11-2024,S2,1
18/11/2024 10:50,1,18-11-2024,S2,1
18/11/2024 10:55,1,18-11-2024,S2,1
18/11/2024 11:00,1,18-11-2024,S2,1
18/11/2024 09:00,1,18-11-2024,S3,1
18/11/2024 09:05,1,18-11-2024,S3,1
18/11/2024 09:10,1,18-11-2024,S3,1
18/11/2024 09:15,1,18-11-2024,S3,1
18/11/2024 09:20,1,18-11-2024,S3,1
18/11/2024 09:25,1,18-11-2024,S3,1
18/11/2024 09:30,1,18-11-2024,S3,1
18/11/2024 09:35,1,18-11-2024,S3,1
18/11/2024 09:40,1,18-11-2024,S3,1
18/11/2024 09:45,0,18-11-2024,S3,1
18/11/2024 09:50,0,18-11-2024,S3,1
18/11/2024 09:55,0,18-11-2024,S3,1
18/11/2024 10:00,0,18-11-2024,S3,1
18/11/2024 10:05,0,18-11-2024,S3,1
18/11/2024 10:10,0,18-11-2024,S3,1
18/11/2024 10:15,1,18-11-2024,S3,1
18/11/2024 10:20,1,18-11-2024,S3,1
18/11/2024 10:25,1,18-11-2024,S3,1
18/11/2024 10:30,1,18-11-2024,S3,1
18/11/2024 10:35,1,18-11-2024,S3,1
18/11/2024 10:40,1,18-11-2024,S3,1
18/11/2024 10:45,1,18-11-2024,S3,1
18/11/2024 10:50,1,18-11-2024,S3,1
18/11/2024 10:55,1,18-11-2024,S3,1
18/11/2024 11:00,1,18-11-2024,S3,1
18/11/2024 09:00,0,18-11-2024,S4,1
18/11/2024 09:05,0,18-11-2024,S4,1
18/11/2024 09:10,0,18-11-2024,S4,1
18/11/2024 09:15,0,18-11-2024,S4,1
18/11/2024 09:20,1,18-11-2024,S4,1
18/11/2024 09:25,1,18-11-2024,S4,1
18/11/2024 09:30,1,18-11-2024,S4,1
18/11/2024 09:35,1,18-11-2024,S4,1
18/11/2024 09:40,1,18-11-2024,S4,1
18/11/2024 09:45,1,18-11-2024,S4,1
18/11/2024 09:50,1,18-11-2024,S4,1
18/11/2024 09:55,1,18-11-2024,S4,1
18/11/2024 10:00,0,18-11-2024,S4,1
